sample,stardist_nuclei,crx_pos,crx_frac,instanseg_nuclei,instanseg_cells,stardist_time_s,instanseg_time_s
1954 CRX GFP-2,804,102,0.12686567164179105,209,1228,11.2,101.8
1954 CRX GFP-3,845,119,0.1408284023668639,199,1321,2.7,86.3
